The election of the mayor,RH,election,collision,210,201,1
The reaction of the chemicals,RH,reaction,competition,210,201,2
The construction of the building,RH,construction,construction,210,201,3
The inflation of a balloon,RH,inflation,containment,210,201,4
The expansion of the fish,RH,expansion,corrosion,210,201,5
The adoption of the dog,RH,adoption,development,210,201,6
The celebration of the birthday,RH,celebration,diversion,210,201,7
The explosion of the fireworks,RH,explosion,election,210,201,8
The destruction of the building,RH,destruction,enforcement,210,201,9
The selection of the book,RH,selection,entertainment,210,201,10
The separation of the gold,RH,separation,erosion,210,201,11
The discussion of an issue,RH,discussion,eruption,210,201,12
The invasion of the ants,RH,invasion,expansion,210,201,13
The protection of the goal,RH,protection,juggling,210,201,14
The collection of seashells,RH,collection,kayaking,210,201,15
The production of bottles,RH,production,movement,210,201,16
The connection of the charger,RH,connection,mowing,210,201,17
The interaction of the children,RH,interaction,operation,210,201,18
The reflection of the person,RH,reflection,towing,210,201,19
The division of the cake,RH,division,treatment,210,201,20
The consumption of the food,RH,consumption,collision,210,201,21
The contribution of food,RH,contribution,competition,210,201,22
The prevention of sunburn,RH,prevention,construction,210,201,23
The presentation of the award,RH,presentation,containment,210,201,24
The pollution of the river,RH,pollution,corrosion,210,201,25
The exhibition of her painting,RH,exhibition,development,210,201,26
The direction of the aircraft,RH,direction,diversion,210,201,27
The extension of the tape measure,RH,extension,election,210,201,28
The transmission of their broadcast,RH,transmission,enforcement,210,201,29
The creation of a vase,RH,creation,entertainment,210,201,30
The erosion of the cliff,RL,erosion,erosion,220,202,31
The corrosion of the statue,RL,corrosion,eruption,220,202,32
The diversion of the roadway,RL,diversion,expansion,220,202,33
The collision of the cars,RL,collision,juggling,220,202,34
The eruption of the volcano,RL,eruption,kayaking,220,202,35
The inspection of the restaurant,RL,inspection,movement,220,202,36
The detection of metal,RL,detection,mowing,220,202,37
The correction of the draft,RL,correction,operation,220,202,38
The extraction of the tooth,RL,extraction,towing,220,202,39
The compression of the dough,RL,compression,treatment,220,202,40
The intrusion of the building,RL,intrusion,collision,220,202,41
The infusion of the medication,RL,infusion,competition,220,202,42
The immersion of the dog,RL,immersion,construction,220,202,43
The dispersion of the seeds,RL,dispersion,containment,220,202,44
The insertion of the key,RL,insertion,corrosion,220,202,45
The diffusion of the dye,RL,diffusion,development,220,202,46
The evasion of the tackle,RL,evasion,diversion,220,202,47
The deflation of the tire,RL,deflation,election,220,202,48
The emission of smoke,RL,emission,enforcement,220,202,49
The projection of the movie,RL,projection,entertainment,220,202,50
The obstruction of the road,RL,obstruction,erosion,220,202,51
The distortion of the child,RL,distortion,eruption,220,202,52
The attraction of the bee,RL,attraction,expansion,220,202,53
The distraction of the driver,RL,distraction,juggling,220,202,54
The interception of the football,RL,interception,kayaking,220,202,55
The ignition of the kindling,RL,ignition,movement,220,202,56
The injection of the medicine,RL,injection,mowing,220,202,57
The combustion of the fuel,RL,combustion,operation,220,202,58
The absorption of the spill,RL,absorption,towing,220,202,59
The departure of the train,RL,departure,treatment,220,202,60
The movement of the skaters,NH,movement,collision,230,203,61
The development of the software,NH,development,competition,230,203,62
The treatment of the patient,NH,treatment,construction,230,203,63
The enforcement of the speed limit,NH,enforcement,containment,230,203,64
The entertainment of the children,NH,entertainment,corrosion,230,203,65
The arrival of the guest,NH,arrival,development,230,203,66
The approval of the document,NH,approval,diversion,230,203,67
The performance of the musician,NH,performance,election,230,203,68
The assistance of the woman,NH,assistance,enforcement,230,203,69
The storage of the luggage,NH,storage,entertainment,230,203,70
The delivery of the mail,NH,delivery,erosion,230,203,71
The discovery of the skull,NH,discovery,eruption,230,203,72
The cooking of the food,NH,cooking,expansion,230,203,73
The walking of the dog,NH,walking,juggling,230,203,74
The fishing of the lake,NH,fishing,kayaking,230,203,75
The training of the dog,NH,training,movement,230,203,76
The opening of the gift,NH,opening,mowing,230,203,77
The manufacturing of the chair,NH,manufacturing,operation,230,203,78
The parking of the car,NH,parking,towing,230,203,79
The warming of the person,NH,warming,treatment,230,203,80
The drinking of water,NH,drinking,collision,230,203,81
The teaching of the student,NH,teaching,competition,230,203,82
The replacement of the bulb,NH,replacement,construction,230,203,83
The announcement of the news,NH,announcement,containment,230,203,84
The improvement of the road,NH,improvement,corrosion,230,203,85
The assessment of the student,NH,assessment,development,230,203,86
The management of the hive,NH,management,diversion,230,203,87
The payment of the grocer,NH,payment,election,230,203,88
The excitement of the person,NH,excitement,enforcement,230,203,89
The punishment of the dog,NH,punishment,entertainment,230,203,90
The mowing of the lawn,NL,mowing,erosion,240,204,91
The towing of the car,NL,towing,eruption,240,204,92
The containment of the fire,NL,containment,expansion,240,204,93
The juggling of the balls,NL,juggling,juggling,240,204,94
The kayaking of the river,NL,kayaking,kayaking,240,204,95
The removal of the stain,NL,removal,movement,240,204,96
The withdrawal of the money,NL,withdrawal,mowing,240,204,97
The attendance of the conference,NL,attendance,operation,240,204,98
The clearance of a path,NL,clearance,towing,240,204,99
The drainage of the tank,NL,drainage,treatment,240,204,100
The robbery of the house,NL,robbery,collision,240,204,101
The forgery of the signature,NL,forgery,competition,240,204,102
The farming of the field,NL,farming,construction,240,204,103
The cleaning of the floor,NL,cleaning,containment,240,204,104
The gardening of the backyard,NL,gardening,corrosion,240,204,105
The skiing of the slope,NL,skiing,development,240,204,106
The wrestling of the dog,NL,wrestling,diversion,240,204,107
The carving of the wood,NL,carving,election,240,204,108
The measurement of the man,NL,measurement,enforcement,240,204,109
The adjustment of the thermostat,NL,adjustment,entertainment,240,204,110
The shipment of the container,NL,shipment,erosion,240,204,111
The confinement of the raccoon,NL,confinement,eruption,240,204,112
The abandonment of the dog,NL,abandonment,expansion,240,204,113
The encouragement of the child,NL,encouragement,juggling,240,204,114
The entrapment of the fly,NL,entrapment,kayaking,240,204,115
The placement of the piece,NL,placement,movement,240,204,116
The impoundment of the evidence,NL,impoundment,mowing,240,204,117
The adornment of the tree,NL,adornment,operation,240,204,118
The attachment of the leash,NL,attachment,towing,240,204,119
The derailment of the train,NL,derailment,treatment,240,204,120
